title,url,asin,brand,price/value,stars,reviewsCount,description,description_clean
"MuscleBlaze L-Glutamine Powder, Unflavoured (50 Servings, 250g)| Post Workout Recovery | 5g Glutamine",https://www.amazon.in/dp/B01LW7X5MO,B01LW7X5MO,MuscleBlaze,889.0,4.1,1808.0,,
"MuscleBlaze Koshaveda T-Surge Black (90 Tablets) | Testosterone Booster for Men | With 12 Ayurvedic Herbs - Ashwagandha, Shilajit, Safed Musli, & Gokhru | For Strength, Stamina & Endurance",https://www.amazon.in/dp/B0BYJ5Y3S9,B0BYJ5Y3S9,MuscleBlaze,1159.0,4.0,451.0,,
"MuscleBlaze Training Bag with Shoe Compartment, Gym Bag (Camo Navy, 45L) | Duffle Bag for Gym & Travel",https://www.amazon.in/dp/B0CYQ4FWQM,B0CYQ4FWQM,MuscleBlaze,799.0,4.1,849.0,,
"MuscleBlaze Weight Gainer Powder with Added Digezyme, Chocolate (10 Servings, 1kg / 2.2lbs) | 12g Protein, 72g Carbs Per Scoop",https://www.amazon.in/dp/B07219ZC1G,B07219ZC1G,MuscleBlaze,989.0,3.8,11183.0,,
MuscleBlaze Half Sleeve Z-Verse T-Shirt,https://www.amazon.in/dp/B0DR321W71,B0DR321W71,MuscleBlaze,999.0,4.2,17.0,,
"MuscleBlaze Micronised Creatine Monohydrate CreAMP Powder, Unflavoured (32 Servings, 100g) | Trustified Certified Creatine",https://www.amazon.in/dp/B00LLZ82O4,B00LLZ82O4,MuscleBlaze,549.0,4.2,24385.0,,
"MuscleBlaze MB-Burner PRO (60 Tablets) | L- Carnitine, Garcinia Cambogia, Caffeine, Green Tea, Coleus Forskohlii, Green Coffee Bean, Black Pepper Extract with Chromium Picolinate",https://www.amazon.in/dp/B08QM6QJXP,B08QM6QJXP,MuscleBlaze,925.0,3.8,1978.0,,
"MuscleBlaze Micronised Creatine Monohydrate CreAMP Powder, Candy Rush (80 Servings, 320g) | Trustified Certified Creatine",https://www.amazon.in/dp/B0GM16WRTJ,B0GM16WRTJ,MuscleBlaze,999.0,4.3,64.0,,
"MuscleBlaze Super Gainer Black, Chocolate (10 Servings, 1kg / 2.2lbs) | 12g Protein, 78.95g Carbs Per Scoop | Enhanced Gaining Formula - Appetite, Digestion & Testo Blend Powder.",https://www.amazon.in/dp/B0BBQNDSFS,B0BBQNDSFS,MuscleBlaze,1279.0,4.0,1265.0,,
"MuscleBlaze Micronised Creatine Monohydrate CreAMP Powder, Juicy Berries (80 Servings, 320g) | Trustified Certified Creatine",https://www.amazon.in/dp/B0DZ6VDHYR,B0DZ6VDHYR,MuscleBlaze,999.0,4.3,653.0,,
